Function, Run, Filter, Thread, Time
serialDataFirst, 0, 1, 1, 0.142894
serialFilterFirst, 0, 1, 1, 0.136762
serialDataFirst, 0, 2, 1, 0.207270
serialFilterFirst, 0, 2, 1, 0.238201
serialDataFirst, 0, 4, 1, 0.392994
serialFilterFirst, 0, 4, 1, 0.462609
serialDataFirst, 0, 8, 1, 0.752592
serialFilterFirst, 0, 8, 1, 0.918453
serialDataFirst, 0, 16, 1, 1.526587
serialFilterFirst, 0, 16, 1, 1.823242
serialDataFirst, 0, 32, 1, 3.106745
serialFilterFirst, 0, 32, 1, 3.682809
serialDataFirst, 0, 64, 1, 6.894183
serialFilterFirst, 0, 64, 1, 7.430673
serialDataFirst, 0, 128, 1, 13.014184
serialFilterFirst, 0, 128, 1, 14.533516
serialDataFirst, 0, 256, 1, 25.836962
serialFilterFirst, 0, 256, 1, 29.434260
parallelDataFirst, 0, 256, 1, 26.245447
parallelFilterFirst, 0, 256, 1, 29.425696
parallelDataFirst, 0, 256, 2, 13.377974
parallelFilterFirst, 0, 256, 2, 15.166131
parallelDataFirst, 0, 256, 4, 6.769251
parallelFilterFirst, 0, 256, 4, 7.703957
parallelDataFirst, 0, 256, 8, 3.405946
parallelFilterFirst, 0, 256, 8, 3.844773
parallelDataFirst, 0, 256, 16, 2.666468
parallelFilterFirst, 0, 256, 16, 2.821340
parallelDataFirstUnrolledFilter, 0, 256, 8, 2.349198
parallelFilterFirstUnrolledFilter, 0, 256, 8, 3.883849
parallelDataFirstUnrolledData, 0, 256, 8, 3.373326
parallelFilterFirstUnrolledData, 0, 256, 8, 2.303221
serialDataFirst, 1, 1, 1, 0.142314
serialFilterFirst, 1, 1, 1, 0.135559
serialDataFirst, 1, 2, 1, 0.206741
serialFilterFirst, 1, 2, 1, 0.229127
serialDataFirst, 1, 4, 1, 0.379661
serialFilterFirst, 1, 4, 1, 0.457055
serialDataFirst, 1, 8, 1, 0.748869
serialFilterFirst, 1, 8, 1, 0.912896
serialDataFirst, 1, 16, 1, 1.515257
serialFilterFirst, 1, 16, 1, 1.818133
serialDataFirst, 1, 32, 1, 3.131317
serialFilterFirst, 1, 32, 1, 3.637213
serialDataFirst, 1, 64, 1, 6.729631
serialFilterFirst, 1, 64, 1, 7.272038
serialDataFirst, 1, 128, 1, 13.010392
serialFilterFirst, 1, 128, 1, 14.497345
serialDataFirst, 1, 256, 1, 25.847651
serialFilterFirst, 1, 256, 1, 28.954290
parallelDataFirst, 1, 256, 1, 25.954926
parallelFilterFirst, 1, 256, 1, 29.389828
parallelDataFirst, 1, 256, 2, 13.310746
parallelFilterFirst, 1, 256, 2, 15.080031
parallelDataFirst, 1, 256, 4, 6.761400
parallelFilterFirst, 1, 256, 4, 7.656687
parallelDataFirst, 1, 256, 8, 3.427556
parallelFilterFirst, 1, 256, 8, 3.844308
parallelDataFirst, 1, 256, 16, 2.697561
parallelFilterFirst, 1, 256, 16, 2.811248
parallelDataFirstUnrolledFilter, 1, 256, 8, 2.349518
parallelFilterFirstUnrolledFilter, 1, 256, 8, 3.820945
parallelDataFirstUnrolledData, 1, 256, 8, 3.369330
parallelFilterFirstUnrolledData, 1, 256, 8, 2.182103
serialDataFirst, 2, 1, 1, 0.146839
serialFilterFirst, 2, 1, 1, 0.136155
serialDataFirst, 2, 2, 1, 0.218598
serialFilterFirst, 2, 2, 1, 0.230162
serialDataFirst, 2, 4, 1, 0.388307
serialFilterFirst, 2, 4, 1, 0.456011
serialDataFirst, 2, 8, 1, 0.748995
serialFilterFirst, 2, 8, 1, 0.907840
serialDataFirst, 2, 16, 1, 1.519332
serialFilterFirst, 2, 16, 1, 1.817945
serialDataFirst, 2, 32, 1, 3.093180
serialFilterFirst, 2, 32, 1, 3.625660
serialDataFirst, 2, 64, 1, 6.779791
serialFilterFirst, 2, 64, 1, 7.266713
serialDataFirst, 2, 128, 1, 13.013648
serialFilterFirst, 2, 128, 1, 14.502466
serialDataFirst, 2, 256, 1, 25.712363
serialFilterFirst, 2, 256, 1, 29.172273
parallelDataFirst, 2, 256, 1, 25.969115
parallelFilterFirst, 2, 256, 1, 29.385922
parallelDataFirst, 2, 256, 2, 13.274776
parallelFilterFirst, 2, 256, 2, 15.087027
parallelDataFirst, 2, 256, 4, 6.757326
parallelFilterFirst, 2, 256, 4, 7.655217
parallelDataFirst, 2, 256, 8, 3.389882
parallelFilterFirst, 2, 256, 8, 3.840214
parallelDataFirst, 2, 256, 16, 2.688406
parallelFilterFirst, 2, 256, 16, 2.808190
parallelDataFirstUnrolledFilter, 2, 256, 8, 2.426222
parallelFilterFirstUnrolledFilter, 2, 256, 8, 3.799857
parallelDataFirstUnrolledData, 2, 256, 8, 3.370379
parallelFilterFirstUnrolledData, 2, 256, 8, 2.158950
serialDataFirst, 3, 1, 1, 0.146915
serialFilterFirst, 3, 1, 1, 0.138539
serialDataFirst, 3, 2, 1, 0.210473
serialFilterFirst, 3, 2, 1, 0.231977
serialDataFirst, 3, 4, 1, 0.381774
serialFilterFirst, 3, 4, 1, 0.460002
serialDataFirst, 3, 8, 1, 0.755280
serialFilterFirst, 3, 8, 1, 0.922023
serialDataFirst, 3, 16, 1, 1.520167
serialFilterFirst, 3, 16, 1, 1.822854
serialDataFirst, 3, 32, 1, 3.092660
serialFilterFirst, 3, 32, 1, 3.641003
serialDataFirst, 3, 64, 1, 6.719560
serialFilterFirst, 3, 64, 1, 7.262160
serialDataFirst, 3, 128, 1, 13.050640
serialFilterFirst, 3, 128, 1, 14.487800
serialDataFirst, 3, 256, 1, 25.746385
serialFilterFirst, 3, 256, 1, 28.951477
parallelDataFirst, 3, 256, 1, 26.088333
parallelFilterFirst, 3, 256, 1, 29.387859
parallelDataFirst, 3, 256, 2, 13.337589
parallelFilterFirst, 3, 256, 2, 15.055112
parallelDataFirst, 3, 256, 4, 6.783896
parallelFilterFirst, 3, 256, 4, 7.671506
parallelDataFirst, 3, 256, 8, 3.410363
parallelFilterFirst, 3, 256, 8, 3.873107
parallelDataFirst, 3, 256, 16, 2.686249
parallelFilterFirst, 3, 256, 16, 2.813910
parallelDataFirstUnrolledFilter, 3, 256, 8, 2.333475
parallelFilterFirstUnrolledFilter, 3, 256, 8, 3.818231
parallelDataFirstUnrolledData, 3, 256, 8, 3.369640
parallelFilterFirstUnrolledData, 3, 256, 8, 2.389677
serialDataFirst, 4, 1, 1, 0.153404
serialFilterFirst, 4, 1, 1, 0.141670
serialDataFirst, 4, 2, 1, 0.209464
serialFilterFirst, 4, 2, 1, 0.231225
serialDataFirst, 4, 4, 1, 0.392821
serialFilterFirst, 4, 4, 1, 0.457821
serialDataFirst, 4, 8, 1, 0.758642
serialFilterFirst, 4, 8, 1, 0.910552
serialDataFirst, 4, 16, 1, 1.527785
serialFilterFirst, 4, 16, 1, 1.817866
serialDataFirst, 4, 32, 1, 3.093616
serialFilterFirst, 4, 32, 1, 3.632256
serialDataFirst, 4, 64, 1, 6.710376
serialFilterFirst, 4, 64, 1, 7.258112
serialDataFirst, 4, 128, 1, 13.101755
serialFilterFirst, 4, 128, 1, 14.480265
serialDataFirst, 4, 256, 1, 25.738880
serialFilterFirst, 4, 256, 1, 28.959261
parallelDataFirst, 4, 256, 1, 25.939511
parallelFilterFirst, 4, 256, 1, 29.421181
parallelDataFirst, 4, 256, 2, 13.399881
parallelFilterFirst, 4, 256, 2, 15.026937
parallelDataFirst, 4, 256, 4, 6.763360
